P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
1;14699;;1,00;U1;2717;AP;TCA9548A;;;;;;;1-to-8 I2C Multiplexer Breakout module, Adafruit;Adafruit;2717;MOUSER ELECTRONICS;485-2717;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Capacitance;Voltage;Tolerance;Dielectric;ESR;Rated RMS current;Temp;Description;Manuf;Manuf Code;Supplier;Supplier Code
2;479;;6,00;C6 C5 C4 C3 C2 C1;0603;C;10uF;6.3V;20%;X5R;;;;Multilayer Ceramic Capacitor, 10uF, 6.3V, 20%, X5R, SMD, 0603;Avx;06036D106MAT2A;DIGI-KEY CORPORATION;478-5318-1-ND;Avx;06036D106MAT2A;FARNELL ITALIA S.R.L.;1833804;Avx;06036D106MAT2A;MOUSER ELECTRONICS;581-06036D106MAT2A;TDK;C1608X5R0J106MT;RS COMPONENTS S.P.A.;741-4434;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Impedence;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
3;504;;1,00;TP1;TP-1206;CO;S1751-46;;;;;;;Test point, SMD, 1206;Harwin;S1751-46;FARNELL ITALIA S.R.L.;1022338;
4;709;;1,00;J1;53261-0871;CO;53261-0871;1A;;;;;;PCB connector, Picoblade, 8 contacts, 1 row, male, p.1.25mm, 90°, w to b, nolock, key, SMD;Molex;53261-0871;RS COMPONENTS S.P.A.;542-7157;
5;1124;;2,00;J3 J2;53261-0671;CO;53261-0671;1A;;;;;;PCB connector, Picoblade, 6 contacts, 1 row, male, p.1.25mm,  90°, w to b, nolock, key, SMD;Molex;53261-0671;FARNELL ITALIA S.R.L.;1125375;Molex;53261-0671;RS COMPONENTS S.P.A.;542-7135;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
6;14707.0;;1,00;PCB;;PCB;CTR1P_00;;;;AM;;;CTR1P_00, IIT - Printed Circuit board for pressure sensors  for Ventilator;IIT;14707;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Resistance;Power;Tolerance;Stability;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
7;276;;8,00;R9 R8 R7 R6 R5 R4 R3 R2;0603;R;4K7;0.1W;1%;250ppm;;;;Resistor Thick Film, 4K7, 0.1W, 1%, SMD, 0603;Phycomp;232270464702;FARNELL ITALIA S.R.L.;9238565;Phycomp;232270464702;RS COMPONENTS S.P.A.;504-7357;Phycomp;RC0603FR-074K7L;DIGI-KEY CORPORATION;311-4.70KHRTR-ND;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Ranges;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
8;14697;;1,00;S7;HSCDANN;SE;HSCDANN150PG2A5;;;;;;;High Accuracy Compensated/Amplified pressure sensor, dry gases, 0/150 Psi, I2C, 5V, THD, DIP8;Honeywell;HSCDANN150PG2A5;MOUSER ELECTRONICS;785-HSCDANN150PG2A5;
9;14698;;3,00;S4 S3 S1;HSCMAND;SE;HSCMAND160MD2A5;;;;;;;High Accuracy Compensated/Amplified pressure sensor, dry gases, +/- 160mbar, I2C, 5V, SMD;Honeywell;HSCMAND160MD2A5;MOUSER ELECTRONICS;785-HSCMAND160MD2A5;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;;;;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
10;4270;X;3,00;H3 H2 H1;MH3;FAST;M3 Metallized hole;;;;;;;PCB hole, metallized, for M3 thread;IIT;4270;IIT  FACILITY EDL;4270;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Resistance;Power;Tolerance;Stability;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
11;289;X;1,00;R1;0805;R;0R;0.125W;1%;200ppm;;;;Resistor Thick Film, 0R, 0.125W, 1%, SMD, 0805;Phycomp;232273091002;FARNELL ITALIA S.R.L.;9233750;
